frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425440.487729587	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	1	1	1	0
1596425440.487997218	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	1	237	1	0
1596425440.553633553	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	1	237	1	0
1596425440.553657902	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	237	365	1	0
1596425440.554263593	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	237	365	1	0
1596425440.554527313	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	365	313	1	0
1596425440.582068408	eth:ethertype:ip:tcp:ssh	118	192.168.0.1	192.168.0.158	35658	22	35658	52	365	313	1	0
1596425440.623046253	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	313	417	1	0
1596425441.157499919	eth:ethertype:ip:tcp:ssh	150	192.168.0.158	192.168.0.1	22	35658	22	84	313	417	1	0
1596425441.199633741	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	417	397	1	0
1596425441.203506994	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	397	417	1	0
1596425441.203735784	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	417	633	1	0
1596425441.223114593	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	417	633	1	0
1596425441.223137018	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	633	493	1	0
1596425441.269128424	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	493	633	1	0
1596425441.269161773	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	633	857	1	0
1596425441.269906241	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	633	857	1	0
1596425441.311598080	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	857	709	1	0
1596425441.695226742	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	709	857	1	0
1596425441.695509429	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	857	801	1	0
1596425441.740257532	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	801	857	1	0
1596425441.740524777	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	857	1037	1	0
1596425441.759054732	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	857	1037	1	0
1596425441.803043891	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	1037	933	1	0
1596425441.807045657	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	933	1037	1	0
1596425441.807060988	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	1037	1297	1	0
1596425441.807804386	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	1037	1297	1	0
