frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596421495.784299496	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	1	1	1	0
1596421495.784588433	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	1	237	1	0
1596421495.844801083	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	1	237	1	0
1596421495.844818721	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	237	77	1	0
1596421495.854054166	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	77	237	1	0
1596421495.854063217	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	237	433	1	0
1596421495.855417284	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	237	433	1	0
1596421495.855681010	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	433	313	1	0
1596421496.208600985	eth:ethertype:ip:tcp:ssh	158	192.168.0.1	192.168.0.158	35658	22	35658	92	433	313	1	0
1596421496.209438839	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	313	525	1	0
1596421496.209709396	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	525	389	1	0
1596421496.210074068	eth:ethertype:ip:tcp:ssh	174	192.168.0.158	192.168.0.1	22	35658	22	108	389	525	1	0
1596421496.210338972	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	525	497	1	0
1596421496.274342544	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	525	497	1	0
1596421496.315065787	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	497	601	1	0
